var_name_final,n_obs,scale_mode,plausible_min,plausible_max,out_of_range_count,out_of_range_ratio,flag
bbg_us_5y_breakeven_inflation,5171,percent_like,-5.0,60.0,5171,1.0,check_scale
bbg_fed_funds,5516,decimal_like,-0.05,0.6,2833,0.5135968092820885,check_scale
bbg_1_month_risk_reversal_option,5283,not_checked,-inf,inf,0,0.0,ok
bbg_anfavea_bz,5516,not_checked,-inf,inf,0,0.0,ok
bbg_bbg_asia_fc,5516,not_checked,-inf,inf,0,0.0,ok
bbg_bbg_surprise_growth_us,5516,not_checked,-inf,inf,0,0.0,ok
bbg_bbg_surprise_inf_bz,5516,not_checked,-inf,inf,0,0.0,ok
bbg_bbg_surprise_inf_us,5516,not_checked,-inf,inf,0,0.0,ok
bbg_bbg_surprise_us,5516,not_checked,-inf,inf,0,0.0,ok
bbg_bbg_us_fc,5516,not_checked,-inf,inf,0,0.0,ok
bbg_bz_bond_10y,4286,percent_like,-5.0,60.0,0,0.0,ok
bbg_bz_bond_1y,5516,percent_like,-5.0,60.0,0,0.0,ok
bbg_bz_bond_3y,5516,percent_like,-5.0,60.0,0,0.0,ok
bbg_bz_bond_5y,4286,percent_like,-5.0,60.0,0,0.0,ok
bbg_bz_cds_10y,5516,bps,0.0,5000.0,0,0.0,ok
bbg_bz_cds_5y,5516,bps,0.0,5000.0,0,0.0,ok
bbg_citi_em_asia_fc,5052,not_checked,-inf,inf,0,0.0,ok
bbg_citi_surprise_em,5516,not_checked,-inf,inf,0,0.0,ok
bbg_citi_surprise_eur,5516,not_checked,-inf,inf,0,0.0,ok
bbg_citi_surprise_g10,5516,not_checked,-inf,inf,0,0.0,ok
bbg_citi_surprise_global,5516,not_checked,-inf,inf,0,0.0,ok
bbg_citi_surprise_latam,5516,not_checked,-inf,inf,0,0.0,ok
bbg_citi_surprise_us,5516,not_checked,-inf,inf,0,0.0,ok
bbg_comm,5516,not_checked,-inf,inf,0,0.0,ok
bbg_energy_future,3901,not_checked,-inf,inf,0,0.0,ok
bbg_ibov,5516,points,1000.0,300000.0,0,0.0,ok
bbg_selic,5516,percent_like,-5.0,60.0,0,0.0,ok
bbg_vix,5516,index,5.0,120.0,0,0.0,ok
bbg_wheat,5516,not_checked,-inf,inf,0,0.0,ok
focus_ca_sd,4995,not_checked,-inf,inf,0,0.0,ok
focus_ca_year_0,4968,not_checked,-inf,inf,0,0.0,ok
focus_ca_year_1,4991,not_checked,-inf,inf,0,0.0,ok
focus_ca_year_2,4888,not_checked,-inf,inf,0,0.0,ok
focus_ca_year_3,4973,not_checked,-inf,inf,0,0.0,ok
focus_ca_year_4,4579,not_checked,-inf,inf,0,0.0,ok
focus_dgdp_next_12_average,2111,not_checked,-inf,inf,0,0.0,ok
focus_dgdp_next_12_median,2111,not_checked,-inf,inf,0,0.0,ok
focus_dgdp_year_0,2111,not_checked,-inf,inf,0,0.0,ok
focus_dgdp_year_1,2111,not_checked,-inf,inf,0,0.0,ok
focus_dgdp_year_2,2111,not_checked,-inf,inf,0,0.0,ok
focus_dgdp_year_3,2111,not_checked,-inf,inf,0,0.0,ok
focus_dgdp_year_4,2111,not_checked,-inf,inf,0,0.0,ok
focus_exp_next_12_average,1157,not_checked,-inf,inf,0,0.0,ok
focus_exp_next_12_median,1157,not_checked,-inf,inf,0,0.0,ok
focus_fdi_year_0,4995,not_checked,-inf,inf,0,0.0,ok
focus_fdi_year_1,4995,not_checked,-inf,inf,0,0.0,ok
focus_fdi_year_2,4995,not_checked,-inf,inf,0,0.0,ok
focus_fdi_year_3,4995,not_checked,-inf,inf,0,0.0,ok
focus_fdi_year_4,4623,not_checked,-inf,inf,0,0.0,ok
focus_fx_brl_year_0,4995,not_checked,-inf,inf,0,0.0,ok
focus_fx_brl_year_1,4995,not_checked,-inf,inf,0,0.0,ok
focus_fx_brl_year_2,4995,not_checked,-inf,inf,0,0.0,ok
focus_fx_brl_year_3,4995,not_checked,-inf,inf,0,0.0,ok
focus_fx_brl_year_4,4990,not_checked,-inf,inf,0,0.0,ok
focus_gdp_sd_services,4995,not_checked,-inf,inf,0,0.0,ok
focus_gdp_year_0,4981,not_checked,-inf,inf,0,0.0,ok
focus_gdp_year_1,4988,not_checked,-inf,inf,0,0.0,ok
focus_gdp_year_2,4995,not_checked,-inf,inf,0,0.0,ok
focus_gdp_year_3,4995,not_checked,-inf,inf,0,0.0,ok
focus_gdp_year_4,4106,not_checked,-inf,inf,0,0.0,ok
focus_imp_next_12_average,1157,not_checked,-inf,inf,0,0.0,ok
focus_imp_next_12_median,1157,not_checked,-inf,inf,0,0.0,ok
focus_indp_next_12_average,3835,not_checked,-inf,inf,0,0.0,ok
focus_indp_next_12_median,3835,not_checked,-inf,inf,0,0.0,ok
focus_ipca_current_month,4995,not_checked,-inf,inf,0,0.0,ok
focus_ipca_next_12_average,4995,not_checked,-inf,inf,0,0.0,ok
focus_ipca_next_12_median,4995,not_checked,-inf,inf,0,0.0,ok
focus_ipca_year_0,4995,not_checked,-inf,inf,0,0.0,ok
focus_ipca_year_1,4995,not_checked,-inf,inf,0,0.0,ok
focus_ipca_year_2,4995,not_checked,-inf,inf,0,0.0,ok
focus_ipca_year_3,4995,not_checked,-inf,inf,0,0.0,ok
focus_ipca_year_4,4877,not_checked,-inf,inf,0,0.0,ok
focus_net_debt_year_0,4995,not_checked,-inf,inf,0,0.0,ok
focus_net_debt_year_1,4995,not_checked,-inf,inf,0,0.0,ok
focus_net_debt_year_2,4995,not_checked,-inf,inf,0,0.0,ok
focus_net_debt_year_3,4995,not_checked,-inf,inf,0,0.0,ok
focus_net_debt_year_4,4755,not_checked,-inf,inf,0,0.0,ok
focus_nominal_year_0,4995,not_checked,-inf,inf,0,0.0,ok
focus_nominal_year_1,4995,not_checked,-inf,inf,0,0.0,ok
focus_nominal_year_2,4995,not_checked,-inf,inf,0,0.0,ok
focus_nominal_year_3,4995,not_checked,-inf,inf,0,0.0,ok
focus_nominal_year_4,4712,not_checked,-inf,inf,0,0.0,ok
focus_primary_next_12_average,4995,not_checked,-inf,inf,0,0.0,ok
focus_primary_next_12_median,4995,not_checked,-inf,inf,0,0.0,ok
focus_primary_year_0,4979,not_checked,-inf,inf,0,0.0,ok
focus_primary_year_1,4963,not_checked,-inf,inf,0,0.0,ok
focus_primary_year_2,4856,not_checked,-inf,inf,0,0.0,ok
focus_primary_year_3,4746,not_checked,-inf,inf,0,0.0,ok
focus_primary_year_4,4124,not_checked,-inf,inf,0,0.0,ok
focus_selic_year_0,4643,percent_like,-5.0,60.0,0,0.0,ok
focus_selic_year_1,4995,percent_like,-5.0,60.0,0,0.0,ok
focus_selic_year_2,4995,percent_like,-5.0,60.0,0,0.0,ok
focus_selic_year_3,4995,percent_like,-5.0,60.0,0,0.0,ok
focus_selic_year_4,4995,percent_like,-5.0,60.0,0,0.0,ok
focus_trade_b_year_0,4995,not_checked,-inf,inf,0,0.0,ok
focus_trade_b_year_1,4995,not_checked,-inf,inf,0,0.0,ok
focus_trade_b_year_2,4995,not_checked,-inf,inf,0,0.0,ok
focus_trade_b_year_3,4995,not_checked,-inf,inf,0,0.0,ok
focus_trade_b_year_4,4942,not_checked,-inf,inf,0,0.0,ok
